IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimAmount
149,1.0,0.06,C,5.0,0.0,55.0,50.0,B12,Regular,480.0,R22,0.0
150,1.0,0.11,C,15.0,0.0,51.0,50.0,B12,Diesel,480.0,R22,0.0
151,2.0,0.04,C,15.0,0.0,55.0,50.0,B12,Diesel,480.0,R22,0.0
153,1.0,0.74,C,7.0,0.0,59.0,50.0,B12,Regular,364.0,R73,0.0
155,1.0,0.12,C,7.0,0.0,59.0,50.0,B12,Regular,364.0,R73,0.0
158,1.0,0.07,D,7.0,0.0,51.0,50.0,B12,Regular,721.0,R93,0.0
159,1.0,0.79,D,7.0,0.0,51.0,50.0,B12,Regular,721.0,R93,0.0
161,1.0,0.81,E,5.0,0.0,53.0,50.0,B12,Regular,3430.0,R93,0.0
163,1.0,0.05,E,5.0,0.0,53.0,50.0,B12,Regular,3430.0,R93,0.0
166,1.0,0.09,E,4.0,0.0,55.0,50.0,B12,Regular,2715.0,R93,0.0
167,1.0,0.77,E,4.0,0.0,55.0,50.0,B12,Regular,2715.0,R93,0.0
170,1.0,0.87,F,10.0,0.0,31.0,72.0,B12,Diesel,27000.0,R11,0.0
173,1.0,0.87,D,5.0,0.0,65.0,50.0,B12,Regular,645.0,R91,0.0
175,1.0,0.78,B,6.0,1.0,47.0,53.0,B2,Regular,93.0,R91,0.0
178,1.0,0.04,B,6.0,1.0,47.0,53.0,B2,Regular,93.0,R91,0.0
179,1.0,0.03,B,6.0,1.0,47.0,53.0,B2,Regular,93.0,R91,0.0
181,1.0,0.69,E,5.0,8.0,46.0,52.0,B5,Regular,3023.0,R11,0.0
183,1.0,0.12,E,5.0,8.0,46.0,52.0,B5,Regular,3023.0,R11,0.0
184,1.0,0.04,E,5.0,8.0,46.0,52.0,B5,Regular,3023.0,R11,0.0
186,1.0,0.83,C,5.0,0.0,75.0,50.0,B12,Regular,215.0,R42,0.0
188,1.0,0.03,C,5.0,0.0,75.0,50.0,B12,Regular,215.0,R42,0.0
189,1.0,0.55,B,12.0,5.0,50.0,60.0,B12,Diesel,56.0,R25,0.0
190,1.0,0.14,B,12.0,5.0,50.0,60.0,B12,Diesel,56.0,R25,1981.84
193,1.0,0.77,A,7.0,4.0,39.0,50.0,B10,Diesel,30.0,R72,0.0
194,1.0,0.09,A,7.0,4.0,39.0,50.0,B10,Diesel,30.0,R72,0.0
195,1.0,0.14,E,10.0,0.0,67.0,95.0,B12,Diesel,5460.0,R11,0.0
196,1.0,0.67,D,5.0,0.0,22.0,90.0,B12,Regular,1324.0,R11,0.0
197,1.0,0.13,E,4.0,0.0,39.0,100.0,B12,Regular,6736.0,R11,0.0
198,1.0,0.59,E,4.0,0.0,39.0,100.0,B12,Regular,6736.0,R11,0.0
200,1.0,0.21,E,4.0,10.0,24.0,85.0,B14,Regular,3301.0,R73,0.0
202,2.0,0.65,E,4.0,1.0,24.0,85.0,B12,Regular,3301.0,R73,0.0
205,1.0,0.08,C,6.0,0.0,42.0,52.0,B12,Regular,126.0,R22,0.0
206,1.0,0.78,C,6.0,0.0,42.0,52.0,B12,Regular,126.0,R22,0.0
209,1.0,0.34,D,4.0,0.0,48.0,50.0,B12,Regular,1622.0,R91,0.0
210,1.0,0.52,D,4.0,0.0,48.0,50.0,B12,Regular,1622.0,R91,0.0
211,1.0,0.42,E,10.0,5.0,32.0,50.0,B12,Regular,2757.0,R22,0.0
212,1.0,0.14,E,10.0,5.0,32.0,50.0,B12,Regular,2757.0,R22,0.0
213,1.0,0.01,E,10.0,5.0,32.0,50.0,B12,Regular,2757.0,R22,0.0
215,1.0,0.85,E,4.0,1.0,26.0,100.0,B12,Regular,5449.0,R82,0.0
217,1.0,0.74,A,5.0,4.0,31.0,64.0,B3,Diesel,9.0,R21,0.0
219,1.0,0.04,A,5.0,4.0,31.0,64.0,B3,Diesel,9.0,R21,0.0
220,1.0,0.07,A,5.0,4.0,31.0,68.0,B3,Diesel,9.0,R21,0.0
222,1.0,0.8,E,5.0,0.0,48.0,50.0,B12,Regular,3317.0,R93,0.0
223,1.0,0.06,E,5.0,0.0,48.0,50.0,B12,Regular,3317.0,R93,0.0
225,1.0,0.73,D,4.0,0.0,61.0,50.0,B12,Regular,515.0,R54,0.0
227,1.0,0.12,D,4.0,0.0,61.0,50.0,B12,Regular,515.0,R54,0.0
229,1.0,0.8,C,6.0,0.0,45.0,57.0,B12,Diesel,495.0,R91,0.0
230,1.0,0.06,C,6.0,0.0,45.0,57.0,B12,Diesel,495.0,R91,0.0
233,1.0,0.79,A,5.0,0.0,49.0,50.0,B12,Regular,47.0,R22,0.0
234,1.0,0.06,A,5.0,0.0,49.0,50.0,B12,Regular,47.0,R22,0.0
237,1.0,0.09,E,5.0,0.0,45.0,50.0,B12,Regular,2131.0,R82,0.0
238,1.0,0.75,E,5.0,0.0,45.0,50.0,B12,Regular,2131.0,R82,0.0
241,1.0,0.84,E,7.0,4.0,50.0,50.0,B12,Regular,5360.0,R11,0.0
246,1.0,0.08,A,7.0,0.0,38.0,60.0,B12,Regular,27.0,R11,0.0
247,1.0,0.79,A,7.0,0.0,38.0,60.0,B12,Regular,27.0,R11,0.0
250,1.0,0.85,C,4.0,0.0,37.0,64.0,B12,Regular,175.0,R72,0.0
256,1.0,0.85,E,6.0,4.0,35.0,68.0,B5,Diesel,9307.0,R82,0.0
259,1.0,0.83,D,7.0,0.0,54.0,50.0,B12,Regular,966.0,R31,0.0
261,1.0,0.02,D,7.0,0.0,54.0,50.0,B12,Regular,966.0,R31,0.0
264,1.0,0.85,C,5.0,0.0,51.0,50.0,B12,Regular,102.0,R31,0.0
266,1.0,0.8,F,8.0,4.0,23.0,100.0,B12,Regular,17140.0,R11,0.0
268,1.0,0.04,F,8.0,4.0,23.0,100.0,B12,Regular,17140.0,R11,0.0
271,1.0,0.78,A,4.0,0.0,44.0,56.0,B12,Regular,13.0,R93,0.0
272,1.0,0.07,A,4.0,0.0,44.0,56.0,B12,Regular,13.0,R93,0.0
274,1.0,0.72,D,6.0,0.0,51.0,50.0,B12,Diesel,824.0,R91,0.0
275,1.0,0.23,D,6.0,0.0,51.0,50.0,B12,Diesel,824.0,R91,0.0
277,1.0,0.15,C,4.0,3.0,31.0,64.0,B2,Regular,202.0,R31,0.0
278,1.0,0.11,C,4.0,3.0,32.0,64.0,B2,Regular,202.0,R31,0.0
280,1.0,0.48,F,6.0,0.0,33.0,95.0,B12,Regular,27000.0,R11,0.0
282,1.0,0.37,F,6.0,0.0,33.0,95.0,B12,Regular,27000.0,R11,0.0
285,1.0,0.09,F,5.0,0.0,41.0,90.0,B12,Regular,27000.0,R11,0.0
286,1.0,0.75,F,5.0,0.0,41.0,90.0,B12,Regular,27000.0,R11,0.0
289,1.0,0.86,C,8.0,9.0,54.0,50.0,B13,Diesel,177.0,R93,0.0
291,1.0,0.17,B,5.0,3.0,29.0,60.0,B4,Diesel,63.0,R52,0.0
292,1.0,0.07,B,5.0,3.0,29.0,60.0,B4,Diesel,63.0,R52,0.0
293,1.0,0.09,B,6.0,0.0,29.0,60.0,B12,Regular,63.0,R52,0.0
295,1.0,0.04,B,5.0,3.0,29.0,60.0,B4,Diesel,63.0,R52,0.0
296,1.0,0.46,B,6.0,0.0,29.0,60.0,B12,Regular,63.0,R52,0.0
299,1.0,0.74,E,4.0,6.0,26.0,100.0,B6,Regular,2308.0,R31,0.0
300,1.0,0.11,E,4.0,6.0,26.0,100.0,B6,Regular,2308.0,R31,0.0
303,1.0,0.77,B,4.0,0.0,42.0,50.0,B12,Regular,65.0,R26,0.0
304,2.0,0.07,B,4.0,0.0,42.0,50.0,B12,Regular,65.0,R26,0.0
306,1.0,0.24,E,6.0,0.0,50.0,50.0,B12,Regular,8880.0,R11,0.0
307,1.0,0.63,E,6.0,0.0,50.0,50.0,B12,Regular,8880.0,R11,0.0
311,1.0,0.07,A,6.0,0.0,58.0,50.0,B12,Diesel,23.0,R54,0.0
312,1.0,0.76,A,6.0,0.0,58.0,50.0,B12,Diesel,23.0,R54,0.0
316,1.0,0.92,C,9.0,0.0,53.0,50.0,B12,Regular,104.0,R93,0.0
319,1.0,0.17,C,7.0,0.0,52.0,50.0,B12,Regular,251.0,R93,0.0
320,1.0,0.67,C,7.0,0.0,52.0,50.0,B12,Regular,251.0,R93,0.0
322,1.0,0.09,C,5.0,0.0,35.0,50.0,B12,Regular,173.0,R93,0.0
325,1.0,0.78,C,5.0,0.0,35.0,50.0,B12,Regular,173.0,R93,0.0
328,1.0,0.78,E,10.0,0.0,58.0,50.0,B12,Diesel,9307.0,R82,0.0
329,1.0,0.07,E,10.0,0.0,58.0,50.0,B12,Diesel,9307.0,R82,0.0
332,1.0,0.85,D,4.0,0.0,41.0,50.0,B12,Regular,1784.0,R11,0.0
335,1.0,0.87,B,4.0,0.0,52.0,90.0,B12,Regular,73.0,R24,0.0
337,1.0,0.24,A,4.0,0.0,29.0,76.0,B12,Regular,15.0,R26,0.0
339,1.0,0.09,A,4.0,0.0,29.0,76.0,B12,Regular,15.0,R26,0.0
340,1.0,0.51,A,4.0,0.0,29.0,76.0,B12,Regular,15.0,R26,0.0
345,1.0,0.78,E,7.0,0.0,32.0,58.0,B12,Diesel,2472.0,R82,0.0
346,1.0,0.06,E,7.0,0.0,32.0,58.0,B12,Diesel,2472.0,R82,0.0
349,1.0,0.84,C,4.0,0.0,74.0,91.0,B12,Regular,471.0,R73,0.0
352,1.0,0.85,D,4.0,0.0,46.0,50.0,B12,Regular,1846.0,R72,0.0
354,1.0,0.83,F,10.0,0.0,65.0,54.0,B12,Regular,16533.0,R11,0.0
355,1.0,0.07,F,10.0,0.0,65.0,54.0,B12,Regular,16533.0,R11,0.0
359,1.0,0.09,B,4.0,0.0,40.0,55.0,B12,Regular,74.0,R24,0.0
361,1.0,0.76,B,4.0,0.0,40.0,55.0,B12,Regular,74.0,R24,0.0
364,1.0,0.07,D,7.0,4.0,38.0,90.0,B10,Diesel,532.0,R11,0.0
365,1.0,0.77,D,7.0,4.0,38.0,90.0,B10,Diesel,532.0,R11,0.0
367,1.0,0.81,C,7.0,0.0,67.0,80.0,B12,Diesel,109.0,R42,0.0
369,1.0,0.03,C,7.0,0.0,67.0,80.0,B12,Diesel,109.0,R42,0.0
371,1.0,0.08,E,9.0,1.0,46.0,50.0,B12,Regular,2178.0,R11,0.0
372,1.0,0.64,E,9.0,1.0,46.0,50.0,B12,Regular,2178.0,R11,0.0
374,1.0,0.11,E,9.0,1.0,46.0,50.0,B12,Regular,2178.0,R11,0.0
376,1.0,0.66,A,4.0,0.0,43.0,50.0,B12,Regular,24.0,R93,0.0
379,1.0,0.18,A,4.0,0.0,43.0,50.0,B12,Regular,24.0,R93,0.0
382,1.0,0.78,E,10.0,0.0,60.0,50.0,B12,Diesel,3744.0,R93,0.0
383,1.0,0.07,E,10.0,0.0,60.0,50.0,B12,Diesel,3744.0,R93,0.0
386,1.0,0.78,F,4.0,0.0,58.0,50.0,B12,Regular,27000.0,R11,0.0
387,1.0,0.06,F,4.0,0.0,58.0,50.0,B12,Regular,27000.0,R11,0.0
391,1.0,0.84,B,10.0,0.0,43.0,50.0,B12,Diesel,88.0,R91,0.0
394,1.0,0.85,B,9.0,9.0,24.0,95.0,B12,Regular,95.0,R26,0.0
397,2.0,0.84,C,9.0,8.0,24.0,100.0,B12,Regular,208.0,R11,0.0
400,1.0,0.31,A,6.0,0.0,53.0,50.0,B12,Regular,33.0,R93,0.0
402,1.0,0.01,A,5.0,0.0,53.0,50.0,B12,Regular,33.0,R93,0.0
403,1.0,0.51,A,6.0,0.0,53.0,50.0,B12,Regular,33.0,R93,0.0
406,1.0,0.77,C,9.0,0.0,29.0,72.0,B12,Regular,360.0,R91,0.0
407,1.0,0.07,C,9.0,0.0,29.0,72.0,B12,Regular,360.0,R91,0.0
412,1.0,0.84,E,7.0,3.0,40.0,54.0,B12,Regular,5746.0,R11,0.0
414,1.0,0.14,E,4.0,0.0,36.0,85.0,B12,Regular,4792.0,R11,1456.55
416,1.0,0.09,E,4.0,0.0,36.0,85.0,B12,Regular,4792.0,R11,0.0
417,1.0,0.35,E,4.0,0.0,36.0,85.0,B12,Regular,4792.0,R11,0.0
418,1.0,0.25,E,4.0,0.0,36.0,85.0,B12,Regular,4792.0,R11,0.0
420,1.0,0.82,E,9.0,0.0,75.0,50.0,B12,Regular,2038.0,R82,0.0
422,1.0,0.02,E,9.0,0.0,75.0,50.0,B12,Regular,2038.0,R82,0.0
424,2.0,0.62,F,10.0,0.0,51.0,100.0,B12,Regular,27000.0,R11,10834.0
425,1.0,0.22,F,5.0,0.0,51.0,100.0,B12,Regular,27000.0,R11,0.0
427,1.0,0.82,A,6.0,9.0,46.0,64.0,B12,Regular,49.0,R25,0.0
434,1.0,0.84,D,9.0,0.0,45.0,50.0,B12,Diesel,966.0,R72,0.0
436,1.0,0.11,D,11.0,1.0,48.0,50.0,B12,Diesel,721.0,R93,0.0
438,1.0,0.7,D,11.0,1.0,48.0,50.0,B12,Diesel,721.0,R93,0.0
439,1.0,0.03,D,11.0,1.0,48.0,50.0,B12,Diesel,721.0,R93,0.0
442,1.0,0.09,F,7.0,0.0,62.0,50.0,B12,Diesel,27000.0,R11,0.0
443,1.0,0.01,F,7.0,0.0,62.0,50.0,B12,Diesel,27000.0,R11,0.0
444,1.0,0.74,F,7.0,0.0,62.0,50.0,B12,Diesel,27000.0,R11,0.0
447,1.0,0.58,E,4.0,0.0,30.0,68.0,B12,Regular,3963.0,R91,0.0
448,1.0,0.13,E,4.0,0.0,30.0,68.0,B12,Regular,3963.0,R91,0.0
449,1.0,0.17,E,5.0,0.0,30.0,68.0,B12,Regular,3963.0,R91,0.0
451,1.0,0.66,F,9.0,1.0,62.0,50.0,B12,Regular,27000.0,R11,0.0
454,1.0,0.71,E,7.0,0.0,47.0,95.0,B12,Diesel,6157.0,R31,0.0
456,1.0,0.13,E,7.0,0.0,47.0,95.0,B12,Diesel,6157.0,R31,0.0
459,1.0,0.84,B,9.0,0.0,65.0,50.0,B12,Regular,89.0,R52,0.0
462,1.0,0.52,A,5.0,0.0,45.0,50.0,B12,Regular,12.0,R73,0.0
463,1.0,0.31,A,5.0,0.0,45.0,50.0,B12,Regular,12.0,R73,3986.67
465,1.0,0.79,E,10.0,3.0,40.0,50.0,B12,Regular,5628.0,R11,0.0
466,1.0,0.05,E,10.0,3.0,40.0,50.0,B12,Regular,5628.0,R11,0.0
468,1.0,0.8,A,7.0,0.0,67.0,50.0,B12,Diesel,18.0,R93,0.0
470,1.0,0.04,A,7.0,0.0,67.0,50.0,B12,Diesel,18.0,R93,0.0
473,1.0,0.84,D,4.0,0.0,22.0,85.0,B12,Regular,1273.0,R26,0.0
477,1.0,0.78,D,5.0,0.0,76.0,50.0,B12,Regular,517.0,R91,0.0
478,1.0,0.06,D,5.0,0.0,76.0,50.0,B12,Regular,517.0,R91,0.0
480,1.0,0.28,E,6.0,2.0,32.0,100.0,B1,Diesel,2951.0,R41,0.0
482,1.0,0.7,E,6.0,2.0,32.0,100.0,B1,Diesel,2951.0,R41,0.0
484,1.0,0.61,C,9.0,0.0,37.0,50.0,B12,Regular,136.0,R11,0.0
486,1.0,0.1,C,9.0,0.0,37.0,50.0,B12,Regular,136.0,R11,0.0
487,1.0,0.12,C,9.0,0.0,37.0,50.0,B12,Regular,136.0,R11,0.0
490,1.0,0.79,C,5.0,1.0,46.0,50.0,B12,Regular,159.0,R54,0.0
491,1.0,0.05,C,5.0,0.0,46.0,50.0,B12,Regular,159.0,R54,0.0
493,1.0,0.8,E,6.0,0.0,50.0,50.0,B12,Regular,3744.0,R93,0.0
495,1.0,0.04,E,6.0,0.0,50.0,50.0,B12,Regular,3744.0,R93,0.0
496,1.0,0.42,C,6.0,2.0,40.0,50.0,B3,Diesel,181.0,R93,0.0
501,1.0,0.84,C,6.0,2.0,41.0,50.0,B12,Diesel,343.0,R72,0.0
504,1.0,0.78,C,4.0,0.0,50.0,50.0,B12,Regular,134.0,R91,0.0
505,1.0,0.06,C,4.0,0.0,50.0,50.0,B12,Regular,134.0,R91,0.0
507,1.0,0.81,E,9.0,1.0,29.0,85.0,B12,Regular,2308.0,R31,0.0
510,1.0,0.11,E,9.0,1.0,29.0,85.0,B12,Regular,2308.0,R31,0.0
512,1.0,0.81,F,7.0,0.0,48.0,50.0,B12,Regular,15386.0,R11,0.0
514,1.0,0.03,F,7.0,0.0,48.0,50.0,B12,Regular,15386.0,R11,0.0
517,1.0,0.84,D,7.0,2.0,38.0,50.0,B12,Regular,515.0,R11,0.0
519,1.0,0.71,F,4.0,0.0,38.0,51.0,B12,Regular,27000.0,R11,0.0
521,1.0,0.13,F,4.0,0.0,38.0,51.0,B12,Regular,27000.0,R11,0.0
527,1.0,0.84,C,10.0,7.0,43.0,50.0,B12,Regular,138.0,R21,0.0
530,1.0,0.79,C,9.0,1.0,45.0,50.0,B12,Regular,298.0,R54,0.0
532,1.0,0.04,C,9.0,1.0,45.0,50.0,B12,Regular,298.0,R54,0.0
536,1.0,0.84,D,5.0,0.0,29.0,76.0,B12,Regular,891.0,R41,0.0
539,1.0,0.84,C,5.0,1.0,39.0,50.0,B12,Regular,152.0,R26,0.0
542,1.0,0.84,E,5.0,1.0,58.0,100.0,B12,Regular,3541.0,R52,0.0
545,1.0,0.08,D,5.0,0.0,46.0,50.0,B12,Regular,1489.0,R52,0.0
546,1.0,0.76,D,5.0,0.0,46.0,50.0,B12,Regular,1489.0,R52,0.0
548,1.0,0.74,E,5.0,0.0,37.0,50.0,B12,Regular,3023.0,R11,0.0
550,1.0,0.08,E,5.0,0.0,37.0,50.0,B12,Regular,3023.0,R11,0.0
551,1.0,0.01,E,5.0,0.0,37.0,50.0,B12,Regular,3023.0,R11,0.0
554,1.0,0.08,C,6.0,10.0,40.0,62.0,B2,Diesel,309.0,R73,0.0
555,1.0,0.75,C,6.0,10.0,40.0,62.0,B2,Diesel,309.0,R73,0.0
558,1.0,0.84,D,12.0,6.0,36.0,53.0,B12,Diesel,1221.0,R83,0.0
561,1.0,0.84,D,4.0,0.0,36.0,50.0,B12,Regular,1273.0,R26,0.0
563,1.0,0.71,E,5.0,0.0,70.0,50.0,B12,Regular,3430.0,R93,0.0
565,1.0,0.12,E,5.0,0.0,70.0,50.0,B12,Regular,3430.0,R93,0.0
567,1.0,0.72,A,11.0,4.0,34.0,85.0,B12,Diesel,49.0,R94,0.0
569,1.0,0.12,A,11.0,4.0,34.0,85.0,B12,Diesel,49.0,R94,0.0
571,1.0,0.53,B,5.0,0.0,27.0,68.0,B12,Regular,85.0,R22,0.0
573,1.0,0.2,B,5.0,0.0,27.0,68.0,B12,Regular,85.0,R22,0.0
574,1.0,0.1,B,5.0,0.0,27.0,68.0,B12,Regular,85.0,R22,0.0
577,1.0,0.79,F,7.0,9.0,23.0,100.0,B1,Regular,17140.0,R11,0.0
578,1.0,0.04,F,7.0,9.0,23.0,100.0,B1,Regular,17140.0,R11,0.0
581,1.0,0.78,C,4.0,0.0,47.0,50.0,B12,Regular,110.0,R54,0.0
582,1.0,0.06,C,4.0,0.0,47.0,50.0,B12,Regular,110.0,R54,0.0
584,1.0,0.83,A,7.0,4.0,44.0,50.0,B6,Regular,37.0,R94,0.0
588,1.0,0.05,A,11.0,10.0,44.0,50.0,B1,Regular,37.0,R94,0.0
590,1.0,0.78,A,11.0,10.0,44.0,50.0,B1,Regular,37.0,R94,0.0
592,2.0,0.66,D,5.0,0.0,43.0,60.0,B12,Regular,714.0,R11,0.0
594,1.0,0.17,D,5.0,0.0,43.0,60.0,B12,Regular,714.0,R11,0.0
596,1.0,0.46,F,6.0,0.0,41.0,50.0,B12,Regular,27000.0,R11,0.0
598,1.0,0.12,F,6.0,0.0,41.0,50.0,B12,Regular,27000.0,R11,0.0
599,1.0,0.25,F,6.0,0.0,41.0,50.0,B12,Regular,27000.0,R11,0.0
602,1.0,0.77,E,5.0,0.0,65.0,50.0,B12,Regular,3963.0,R91,0.0
603,1.0,0.06,E,5.0,0.0,65.0,50.0,B12,Regular,3963.0,R91,0.0
606,1.0,0.84,D,10.0,6.0,54.0,50.0,B12,Diesel,583.0,R93,1840.14
608,1.0,0.00819672131147541,A,10.0,10.0,55.0,50.0,B12,Diesel,37.0,R94,0.0
609,1.0,0.74,A,10.0,10.0,51.0,50.0,B12,Diesel,37.0,R94,0.0
613,1.0,0.77,C,4.0,0.0,56.0,97.0,B12,Regular,193.0,R43,0.0
614,1.0,0.06,C,4.0,0.0,56.0,97.0,B12,Regular,193.0,R43,0.0
617,1.0,0.7,D,15.0,0.0,66.0,66.0,B12,Diesel,1457.0,R52,0.0
618,1.0,0.13,D,15.0,0.0,66.0,66.0,B12,Diesel,1457.0,R52,0.0
620,2.0,0.07,D,5.0,0.0,34.0,64.0,B12,Regular,1565.0,R31,0.0
622,1.0,0.75,D,5.0,0.0,34.0,64.0,B12,Regular,1565.0,R31,1397.97
